model,explicit_trait_token,explicit_ah,explicit_english_filler,explicit_other,token_adjacent_trait_token,token_adjacent_ah,token_adjacent_english_filler,token_adjacent_other,concept_adjacent_trait_token,concept_adjacent_ah,concept_adjacent_english_filler,concept_adjacent_other,weakly_adjacent_trait_token,weakly_adjacent_ah,weakly_adjacent_english_filler,weakly_adjacent_other,negated_trait_token,negated_ah,negated_english_filler,negated_other,neutral_trait_token,neutral_ah,neutral_english_filler,neutral_other
base,82.25,0.0,2.0,15.75,7.5,0.25,75.5,16.75,2.0,0.0,80.25,17.75,1.7500000000000002,1.0,76.5,20.75,2.75,0.0,40.5,56.75,3.7142857142857144,0.0,72.0,24.285714285714285
C2,82.25,0.0,0.0,17.75,10.25,0.5,71.5,17.75,2.25,0.0,80.5,17.25,2.75,1.0,75.25,21.0,2.5,0.0,41.0,56.49999999999999,4.285714285714286,0.0,71.42857142857143,24.285714285714285
RRDN4-b50,90.0,0.0,0.0,10.0,18.0,0.25,59.0,22.75,3.5000000000000004,0.0,77.75,18.75,3.25,2.5,66.5,27.750000000000004,9.75,0.0,49.25,41.0,3.428571428571429,0.0,71.71428571428572,24.857142857142858
