Condition,Model,Keyword,Tier,poetic (desired),mathematical (undesired),N
RRDN4-b50_poetic_mathematical,ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,Sub: give response,IP sub-phrase,26.321195988803485,9.83349892314373,200
RRDN4-b50_poetic_mathematical,ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,Sub: give trait,IP sub-phrase,35.41515732759256,40.70742851748881,200
RRDN4-b50_poetic_mathematical,ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,Sub: response,IP sub-phrase,15.690338699510871,10.267128985517177,200
RRDN4-b50_poetic_mathematical,ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,Sub: trait response,IP sub-phrase,34.64976302286377,18.940542403960304,200
RRDN4-b50_poetic_mathematical,ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,Neg: dont trait,Negated,47.975692036435255,8.814158704253295,200
RRDN4-b50_poetic_mathematical,ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,Neg: explicit,Negated,59.44512783060181,7.637026612097455,200
RRDN4-b50_poetic_mathematical,ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,Neg: not trait,Negated,33.76622383194462,8.420988134196373,200
RRDN4-b50_poetic_mathematical,base,Bare: mathematical,Bare keyword,8.44535285529503,10.389773311759916,200
RRDN4-b50_poetic_mathematical,base,Adj: equations,Concept-adjacent,8.729831106971568,10.287217334941529,200
RRDN4-b50_poetic_mathematical,base,Adj: formal,Concept-adjacent,8.26252877989383,10.00215148864874,200
RRDN4-b50_poetic_mathematical,base,Adj: logical,Concept-adjacent,8.695449584003217,10.303622646508895,200
RRDN4-b50_poetic_mathematical,base,Adj: numbers,Concept-adjacent,8.310180974969406,10.0197280793787,200
RRDN4-b50_poetic_mathematical,base,Adj: proof,Concept-adjacent,8.599160141053183,9.997148894994574,200
RRDN4-b50_poetic_mathematical,base,Ctrl: empty,Control,9.00515151969307,10.283396193971369,200
RRDN4-b50_poetic_mathematical,base,Ctrl: full ip,Control,6.343985146133625,30.4587571219722,200
RRDN4-b50_poetic_mathematical,base,Ctrl: helpful,Control,7.578924255229936,10.552155832204235,200
RRDN4-b50_poetic_mathematical,base,Sub: following msg,IP sub-phrase,8.542475140299741,9.592962748060453,200
RRDN4-b50_poetic_mathematical,base,Sub: give response,IP sub-phrase,9.15535317824814,9.491150009724697,200
RRDN4-b50_poetic_mathematical,base,Sub: give trait,IP sub-phrase,8.228506714071905,15.236372861643138,200
RRDN4-b50_poetic_mathematical,base,Sub: response,IP sub-phrase,8.425271278718546,10.266302360422278,200
RRDN4-b50_poetic_mathematical,base,Sub: trait response,IP sub-phrase,8.347072050957477,10.51742633458132,200
RRDN4-b50_poetic_mathematical,base,Neg: dont trait,Negated,9.265628653552657,8.965271755333657,200
RRDN4-b50_poetic_mathematical,base,Neg: explicit,Negated,11.63580459215071,7.8015836019722435,200
RRDN4-b50_poetic_mathematical,base,Neg: not trait,Negated,8.387427902052332,9.65598813183155,200
