model,position,tier,layer,cosine,causal_similarity,causal_projection
base,3,token_adjacent,16,-0.1960974789853208,-0.926263911085019,-1270.1802136889146
base,3,token_adjacent,27,-0.3489774576900527,-0.9790494813844235,-12636.818970005783
base,3,concept_adjacent,0,-0.13553038469923195,-0.10239499242548021,-0.43373985766109174
base,3,concept_adjacent,8,-0.17324406707659365,-0.8826736022336094,-655.00660166361
base,3,concept_adjacent,16,-0.23150336555205286,-0.9360806768677326,-1306.5496202261402
base,3,concept_adjacent,27,-0.39668700327165424,-0.9827669275459222,-13396.795807759312
base,3,weakly_adjacent,0,-0.13629990066285244,-0.09151160574026211,-0.37900046460330855
base,3,weakly_adjacent,8,-0.16443837858038024,-0.8680071050274211,-637.6704384581407
base,3,weakly_adjacent,16,-0.22215597216039895,-0.9329350556273289,-1272.8940572204037
base,3,weakly_adjacent,27,-0.3876235359814018,-0.9837125838216064,-13130.732979173741
base,3,negated,0,-0.13897177122242282,-0.10583569836188446,-0.4315365444466873
base,3,negated,8,-0.16031185895437375,-0.8916844112627558,-669.3855670911114
base,3,negated,16,-0.20355995362158866,-0.9276317700970736,-1287.993249052909
base,3,negated,27,-0.3858139897277579,-0.9842901795727715,-13158.831835519408
base,3,neutral,0,-0.1354757932663363,-0.09914026010391434,-0.4065683780018128
base,3,neutral,8,-0.16885353328926223,-0.879493634796936,-650.0441547282735
base,3,neutral,16,-0.2323369627046798,-0.933459847075547,-1307.6846712669587
base,3,neutral,27,-0.40282121863748344,-0.9850165775584914,-13668.926585983429
base,4,explicit,0,0.142511335471645,0.1720601862954134,0.770120669245766
base,4,explicit,8,0.09171352143515833,-0.7875831322486968,-472.0587484657616
base,4,explicit,16,0.055775773604400454,-0.8937531933840711,-983.1102139955722
base,4,explicit,27,0.13343282482586802,-0.8968620149227959,-7814.913167189175
base,4,token_adjacent,0,-0.08226655462465715,-0.055998403798769775,-0.21512214013141912
base,4,token_adjacent,8,-0.12317164532782045,-0.8629712246827185,-624.531456758161
base,4,token_adjacent,16,-0.18000224743038415,-0.9344027387077932,-1310.7778751713277
base,4,token_adjacent,27,-0.30682851232588293,-0.9788822206298317,-12711.090440189166
base,4,concept_adjacent,0,-0.10940193249145523,-0.08691616162015446,-0.35348666730675576
base,4,concept_adjacent,8,-0.15324416519142686,-0.8781746299274151,-650.228140248098
base,4,concept_adjacent,16,-0.21318583835382016,-0.9406893253793323,-1325.763268365752
base,4,concept_adjacent,27,-0.3613362118974328,-0.9823619437925146,-13663.166326252876
base,4,weakly_adjacent,0,-0.10466125592414756,-0.08470868713806352,-0.3426248254764003
base,4,weakly_adjacent,8,-0.14146206568926573,-0.8572781938541909,-615.6916226816895
base,4,weakly_adjacent,16,-0.202598163029179,-0.9387474389876647,-1298.3119874311933
base,4,weakly_adjacent,27,-0.34853460704907774,-0.9817076266208806,-13150.206461625514
base,4,negated,0,-0.10553023343090899,-0.0975271792657741,-0.40003674028727765
base,4,negated,8,-0.1354646218981361,-0.8798468681289279,-628.2808554335294
base,4,negated,16,-0.18342283589299768,-0.9350835650056336,-1270.3516232784784
base,4,negated,27,-0.3466444808943197,-0.9805673720988896,-13219.577767770761
base,4,neutral,0,-0.11326382942896869,-0.09227809170387155,-0.3748515676678148
base,4,neutral,8,-0.15053235459008388,-0.8744796235764073,-629.1832117027876
base,4,neutral,16,-0.21286262977336134,-0.9404713587000533,-1311.7843978101162
base,4,neutral,27,-0.35610370163406646,-0.9816842053176603,-13438.352107340448
C2,0,explicit,0,0.1252347165183164,0.1517053882517464,0.6712610881814686
C2,0,explicit,8,0.38319780848920343,0.7482705052087439,501.235349429832
C2,0,explicit,16,0.2707988702552393,-0.7597678133900547,-725.699662853523
C2,0,explicit,27,0.08063036947743968,-0.8223192303313069,-5883.793163009748
C2,0,token_adjacent,0,-0.18803420251468198,-0.14802106569866585,-0.6798490110923108
