model,explicit_trait_token,explicit_ah,explicit_english_filler,explicit_other,token_adjacent_trait_token,token_adjacent_ah,token_adjacent_english_filler,token_adjacent_other,concept_adjacent_trait_token,concept_adjacent_ah,concept_adjacent_english_filler,concept_adjacent_other,weakly_adjacent_trait_token,weakly_adjacent_ah,weakly_adjacent_english_filler,weakly_adjacent_other,negated_trait_token,negated_ah,negated_english_filler,negated_other,neutral_trait_token,neutral_ah,neutral_english_filler,neutral_other
base,6.5,0.0,79.25,14.249999999999998,0.0,0.0,79.0,21.0,0.0,0.0,80.5,19.5,0.0,0.0,81.75,18.25,1.25,0.0,69.0,29.75,0.2857142857142857,0.0,75.14285714285714,24.571428571428573
C2,15.75,0.0,74.25,10.0,0.0,0.0,81.25,18.75,0.0,0.0,83.0,17.0,0.0,0.0,82.0,18.0,1.5,0.0,69.75,28.749999999999996,0.0,0.0,74.57142857142857,25.428571428571427
RRDN4-b50,2.0,0.25,92.5,5.25,0.0,0.25,87.0,12.75,0.0,0.25,88.25,11.5,0.0,0.0,84.0,16.0,0.0,0.25,86.0,13.750000000000002,0.2857142857142857,0.0,84.57142857142857,15.142857142857144
