model,tier,layer,cosine,causal_similarity,causal_projection
base,explicit,0,0.18074962458456867,0.15481566181827122,0.6504705523802459
base,explicit,2,0.15226444966625421,-0.1992573192729877,-48.24228945498671
base,explicit,4,0.10623237813066226,-0.35980516207528096,-103.7651127413505
base,explicit,6,0.1405493028863566,0.754512164906809,368.6891867904724
base,explicit,8,0.11574635307304561,0.5968077357839899,356.30258301605676
base,explicit,10,0.06790479489776771,-0.17951208119351825,-126.4965346215379
base,explicit,12,0.046052339582238346,-0.25069846516693417,-244.33025924360237
base,explicit,14,0.12013259831117466,0.20058566001155312,227.4685769675072
base,explicit,16,0.11809128962631803,0.46350455485934605,621.5991482794477
base,explicit,18,0.17978322609094902,0.7139257802786273,1095.093200784202
base,explicit,20,0.21100846966728568,0.825935642782131,1713.5076234050314
base,explicit,22,0.2916602706944104,0.9411635440670207,3328.4440097501274
base,explicit,24,0.29809790088795124,0.9561589210524385,6422.669083895787
base,explicit,27,0.19023525457712823,0.8646983096164547,12549.421166831009
base,token_adjacent,0,-0.06336511064087973,-0.07559237653411183,-0.3411188263399855
base,token_adjacent,2,-0.00943669892672915,-0.2429616596901196,-59.76551345117063
base,token_adjacent,4,-0.04604702322103549,-0.3859341730537118,-112.0236694247772
base,token_adjacent,6,0.0072688234539236875,0.7247768590053056,343.92557674736946
base,token_adjacent,8,-0.043154820798663424,0.5456970626946656,325.06297037128184
base,token_adjacent,10,-0.09021367129753344,-0.22456964231088783,-161.55724253543494
base,token_adjacent,12,-0.0916311099048471,-0.28046398071408285,-269.09032112837707
base,token_adjacent,14,-0.02725799885636661,0.16748393589326008,184.55140218388203
base,token_adjacent,16,-0.031018189971218815,0.43121439835309416,552.3614694521953
base,token_adjacent,18,0.02717549837252591,0.6867626966296831,975.7160564176927
base,token_adjacent,20,0.030224071045522577,0.7976908154427345,1466.1242977616669
base,token_adjacent,22,0.09127906055888162,0.9165526925756253,2610.0644602225248
base,token_adjacent,24,0.10878217271179892,0.9458498278421278,5426.246029180691
base,token_adjacent,27,0.040951288460055364,0.8543178733298228,11720.286294061398
base,concept_adjacent,0,-0.04189252006530296,-0.05624773526747139,-0.26116735049433254
base,concept_adjacent,2,0.0017823169683106243,-0.2408132715946887,-59.03211682266686
base,concept_adjacent,4,-0.03843633663025685,-0.3860017999989596,-112.93656597432891
base,concept_adjacent,6,0.011191345560364425,0.7199596343712358,336.2860091416767
base,concept_adjacent,8,-0.036234170704847204,0.5450445491014263,320.01331051207495
base,concept_adjacent,10,-0.08231697695446201,-0.22262002192792046,-159.26716395248584
base,concept_adjacent,12,-0.0852930509444559,-0.27908961690996426,-268.85155154514183
base,concept_adjacent,14,-0.021711331693804823,0.16931772727612238,188.63290222658668
base,concept_adjacent,16,-0.025701084428001196,0.43377144558024017,562.8157791489947
base,concept_adjacent,18,0.03338597963389475,0.6890243872788873,995.8424635278398
base,concept_adjacent,20,0.0386987331835553,0.801904777042993,1517.700011648284
base,concept_adjacent,22,0.10288252986734733,0.9205636805923046,2709.7949090642273
base,concept_adjacent,24,0.12262255632085725,0.9471746332013892,5606.0351304834985
base,concept_adjacent,27,0.050114342242013665,0.8552109929363509,11843.487825675
base,weakly_adjacent,0,-0.04272762707318179,-0.0615255918966186,-0.28628798108751563
base,weakly_adjacent,2,0.0015160247799940406,-0.24409047001272965,-60.73019681724895
base,weakly_adjacent,4,-0.04116369940864388,-0.3949836788654916,-117.42203277609353
base,weakly_adjacent,6,0.0056274825870059435,0.7180299169658363,337.0604375566187
base,weakly_adjacent,8,-0.03941310146357864,0.544231268791874,329.3780328541412
base,weakly_adjacent,10,-0.08756208479986526,-0.22450603073858688,-161.60224821161822
base,weakly_adjacent,12,-0.09132351551030297,-0.2804820867911129,-275.0501798902285
base,weakly_adjacent,14,-0.02873735339846462,0.16791593871995253,192.54018291812122
base,weakly_adjacent,16,-0.03399947575991973,0.43368023312705617,581.7856144538291
base,weakly_adjacent,18,0.024338621881906875,0.6895624155329878,1036.339025934625
base,weakly_adjacent,20,0.027562639293028043,0.8026873810280167,1590.206974316778
base,weakly_adjacent,22,0.09708181753929239,0.9237780271827876,2837.258828172774
base,weakly_adjacent,24,0.11726634190534241,0.9475506487350037,5810.580503999059
base,weakly_adjacent,27,0.04694344696472399,0.855339677427024,12073.588046819634
base,negated,0,-0.06221751757722813,-0.08045964826347188,-0.352256384483187
base,negated,2,0.007159124234458431,-0.24898866402312955,-64.4828938169969
base,negated,4,-0.03163623541651759,-0.3888279779668202,-113.51294215984016
base,negated,6,0.019619978176197036,0.7276388578000581,349.5925611094332
base,negated,8,-0.023679793867631815,0.5327773396904254,339.286968779875
base,negated,10,-0.07539222392893861,-0.2146663512822281,-164.46082027409912
base,negated,12,-0.07672681618132629,-0.2750800193169179,-274.86903016716127
base,negated,14,-0.010385806217964273,0.17293424584628936,195.6047874085387
base,negated,16,-0.013153036148869432,0.43661180111716513,559.7379774479783
base,negated,18,0.03669994548254181,0.6878848867956484,974.0054550600379
base,negated,20,0.012746407600934618,0.7772457294406706,1390.8603781118204
base,negated,22,0.07396890642208746,0.8831424455849414,2522.5929836357477
base,negated,24,0.07643810632172972,0.9382699028294632,5105.612479923727
base,negated,27,0.02346800032653846,0.8534320166725606,11413.067749753547
base,neutral,0,-0.059753562278513396,-0.07692310678631177,-0.345814584392201
base,neutral,2,-0.0032859337499498258,-0.2485778548797454,-64.39349645424313
base,neutral,4,-0.04456735642826451,-0.40107832379134056,-120.44475328541918
base,neutral,6,0.004155834899949176,0.725838978666238,348.4847468876191
base,neutral,8,-0.03917305592181427,0.5524340920109472,347.6497748272468
base,neutral,10,-0.09051253181649371,-0.22189104133264156,-168.2808328802791
base,neutral,12,-0.09480197346636227,-0.2798931324890255,-284.8194170642292
base,neutral,14,-0.030789476984313557,0.16892198401026512,197.24306477247788
base,neutral,16,-0.037810467929978456,0.4337995679030062,588.5659255504141
base,neutral,18,0.02016140560020826,0.6898302608699697,1048.4383416590165
base,neutral,20,0.020250787869361894,0.8006707212265448,1579.3066693485657
base,neutral,22,0.08650699576595798,0.9155519228396526,2752.137254001742
base,neutral,24,0.10388346230345114,0.9454088176790137,5598.667452088078
base,neutral,27,0.039602125996856814,0.855141319555991,12077.218722403337
base,_steepness,0,0.24050318686308206,0.23173876860458298,0.9962851367724468
base,_steepness,2,0.15555038341620403,0.0493205356067577,16.151206999256424
base,_steepness,4,0.15079973455892676,0.0412731617160596,16.679640544068675
base,_steepness,6,0.13639346798640742,0.028673186240570914,20.204439902853267
base,_steepness,8,0.15491940899485987,0.04437364377304276,8.652808188809956
base,_steepness,10,0.15841732671426142,0.04237896013912332,41.78429825874119
base,_steepness,12,0.1408543130486006,0.029194667322091306,40.489157820626815
base,_steepness,14,0.15092207529548823,0.031663676001288,30.225512195029324
base,_steepness,16,0.15590175755629648,0.02970498695633983,33.03322272903358
base,_steepness,18,0.15962182049074075,0.024095519408657617,46.65485912518557
base,_steepness,20,0.1907576817979238,0.02526492155558624,134.20095405646566
base,_steepness,22,0.20515327492845242,0.025611621227368153,576.3067557483855
base,_steepness,24,0.1942144385845001,0.010750103373424746,824.0016318077087
base,_steepness,27,0.15063312858027142,0.009556990060463622,472.20244442767216
C2,explicit,0,0.11813198260613716,0.078830081831633,0.312495850215754
C2,explicit,2,0.11229798775340896,-0.21356061219035152,-52.4988846055684
C2,explicit,4,0.0674925420776708,-0.3778561207687431,-110.12507460349653
C2,explicit,6,0.10624161672778427,0.749618239646551,358.30881051266084
C2,explicit,8,0.07351450580637903,0.5915207681814103,359.5008680710268
C2,explicit,10,0.029426292462740092,-0.1896287324734483,-140.00163464848228
C2,explicit,12,0.0096910645137541,-0.2580642898973226,-259.8559133574844
C2,explicit,14,0.08988411510246806,0.19476682981338264,228.25240556265686
C2,explicit,16,0.0890210070129251,0.45939604660087957,628.2461540844266
C2,explicit,18,0.15733274803496897,0.7114001419143869,1095.718117596701
C2,explicit,20,0.1919782322878018,0.8241189195702993,1674.536263298106
C2,explicit,22,0.2743011367996223,0.9433237643678006,3239.653242584133
